1,3.47,312,656
2,7.82,401,923
3,1.25,289,636
4,9.37,461,1156
5,5.68,378,832
6,2.14,265,584
7,6.73,350,911
8,8.91,420,1051
9,4.36,305,672
10,7.64,390,936
11,1.89,275,687
12,3.63,545,1397
13,3.75,318,795
14,8.16,402,1005
15,2.97,260,572
16,6.34,345,759
17,4.79,330,825
18,3.40,446,1115
19,1.58,280,616
20,7.21,385,847
21,5.43,360,936
22,2.67,295,737
23,8.49,415,1037
24,3.94,310,775
25,9.11,438,1095
26,3.31,300,750
27,6.88,355,887
28,2.23,270,675
29,7.57,392,980
30,4.96,335,837
31,8.74,425,1105
32,1.42,285,712
33,6.29,348,870
34,4.18,320,800
35,9.43,473,1210
36,2.83,290,725
37,7.39,388,970
38,5.26,365,912
39,1.97,278,695
40,8.57,418,1045
41,3.62,315,787
42,9.41,488,1136
43,2.48,298,745
44,6.95,352,880
45,4.83,332,830
46,8.86,422,1055
47,3.19,305,762
48,7.78,395,987
49,5.71,370,925
50,1.16,255,641
